Name,Album,Artist,Release Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature
STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23,141805,92,0.0383,0.591,0.764,0.0,0.103,-5.484,0.0483,169.928,4
INDUSTRY BABY (feat. Jack Harlow),MONTERO,Lil Nas X,2021-09-17,212352,82,0.0221,0.741,0.691,0.0,0.0476,-7.395,0.0672,150.087,4
THATS WHAT I WANT,MONTERO,Lil Nas X,2021-09-17,143901,89,0.00614,0.737,0.846,0.0,0.0486,-4.51,0.22,87.981,4
Heat Waves,Dreamland (+ Bonus Levels),Glass Animals,2020-08-06,238805,88,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,4
Bad Habits,Bad Habits,Ed Sheeran,2021-06-25,231041,97,0.0469,0.808,0.897,3.14e-05,0.364,-3.712,0.0348,126.026,4
Pepas,Pepas,Farruko,2021-06-24,287120,96,0.00776,0.762,0.766,6.98e-05,0.128,-3.955,0.0343,130.001,4
Woman,Planet Her,Doja Cat,2021-06-25,172626,95,0.0888,0.824,0.764,0.00294,0.117,-4.175,0.0854,107.998,4
MONTERO (Call Me By Your Name),MONTERO,Lil Nas X,2021-09-17,137704,82,0.293,0.593,0.503,0.0,0.405,-6.725,0.22,178.781,4
Shivers,Shivers,Ed Sheeran,2021-09-13,207853,88,0.281,0.788,0.859,0.0,0.0424,-2.724,0.0856,141.02,4
Beggin',Chosen,Måneskin,2017-12-08,211560,97,0.127,0.714,0.8,0.0,0.359,-4.808,0.0504,134.002,4
good 4 u,SOUR,Olivia Rodrigo,2021-05-21,178146,96,0.335,0.563,0.664,0.0,0.0849,-5.044,0.154,166.928,4
Way 2 Sexy (with Future & Young Thug),Certified Lover Boy,Drake,2021-09-03,257604,92,0.000619,0.803,0.597,4.5e-06,0.323,-6.035,0.141,136.008,4
Need To Know,Planet Her,Doja Cat,2021-06-25,210560,93,0.304,0.664,0.609,0.0,0.0926,-6.509,0.0707,130.041,4
Fair Trade (with Travis Scott),Certified Lover Boy,Drake,2021-09-03,291175,93,0.0503,0.666,0.465,0.0,0.215,-8.545,0.26,167.937,4
Kiss Me More (feat. SZA),Planet Her,Doja Cat,2021-06-25,208666,86,0.259,0.764,0.705,8.92e-05,0.12,-3.463,0.0284,110.97,4
Happier Than Ever,Happier Than Ever,Billie Eilish,2021-07-30,298899,94,0.767,0.332,0.225,0.00349,0.128,-8.697,0.0348,81.055,3
Life Goes On,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",Oliver Tree,2021-05-28,161803,89,0.186,0.7,0.49,0.0,0.117,-5.187,0.076,79.982,4
Cold Heart - PNAU Remix,Cold Heart (PNAU Remix),Elton John,2021-08-13,202735,90,0.034,0.796,0.798,4.19e-05,0.0952,-6.312,0.0317,116.032,4
Yonaguni,Yonaguni,Bad Bunny,2021-06-04,206710,93,0.276,0.644,0.648,0.0,0.135,-4.601,0.118,179.951,4
Todo De Ti,VICE VERSA,Rauw Alejandro,2021-06-25,199604,84,0.302,0.78,0.719,0.000196,0.0931,-3.613,0.0506,127.962,4
Girls Want Girls (with Lil Baby),Certified Lover Boy,Drake,2021-09-03,221979,92,0.181,0.767,0.438,0.0,0.142,-8.726,0.29,86.975,4
Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,Drake,2021-09-03,242965,90,0.0635,0.849,0.424,0.0,0.0834,-9.579,0.324,145.887,4
Volví,Volví,Aventura,2021-08-03,230125,92,0.422,0.725,0.86,0.000284,0.0674,-3.726,0.182,175.896,4
LALISA,LALISA,LISA,2021-09-10,200689,83,0.0282,0.806,0.653,0.000784,0.107,-6.283,0.0902,150.058,4
Hurricane,Donda,Kanye West,2021-08-29,243187,92,0.0466,0.587,0.561,0.0,0.109,-6.569,0.146,80.009,4
traitor,SOUR,Olivia Rodrigo,2021-05-21,229226,92,0.691,0.38,0.339,0.0,0.12,-7.885,0.0338,100.607,4
Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,2020-03-27,203064,87,0.00883,0.702,0.825,0.0,0.0674,-3.787,0.0601,102.977,4
In Da Getto,JOSE,J Balvin,2021-09-10,130666,76,0.0177,0.924,0.723,2.61e-05,0.113,-3.142,0.0466,126.998,4
Wildest Dreams (Taylor's Version),Wildest Dreams (Taylor's Version),Taylor Swift,2021-09-17,220433,83,0.0374,0.583,0.67,0.0001,0.126,-7.289,0.0646,140.061,4
Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,2021-03-19,198081,92,0.321,0.677,0.696,0.0,0.42,-6.181,0.119,90.03,4
Take My Breath,Take My Breath,The Weeknd,2021-08-05,220196,82,0.0106,0.747,0.739,2.22e-05,0.101,-6.008,0.0487,120.996,4
love nwantiti (ah ah ah),CKay The First,CKay,2019-08-30,145800,84,0.365,0.727,0.739,0.00137,0.161,-3.805,0.0411,93.005,4
Qué Más Pues?,JOSE,J Balvin,2021-09-10,217360,75,0.0272,0.903,0.817,0.000311,0.242,-3.972,0.095,102.014,4
Meet Me At Our Spot,THE ANXIETY,THE ANXIETY,2020-03-13,162680,87,0.0153,0.773,0.47,0.000193,0.0851,-7.93,0.0299,94.995,4
I WANNA BE YOUR SLAVE,Teatro d'ira - Vol. I,Måneskin,2021-03-19,173346,92,0.00165,0.75,0.608,0.0,0.178,-4.008,0.0387,132.507,4
Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,91,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4
Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),The Weeknd,2021-04-23,191013,91,0.0215,0.65,0.825,2.44e-05,0.0936,-4.645,0.0325,118.091,4
SCOOP (feat. Doja Cat),MONTERO,Lil Nas X,2021-09-17,174164,81,0.0427,0.841,0.527,1.54e-06,0.12,-8.116,0.149,163.975,4
2055,Still Sleep?,Sleepy Hallow,2021-06-02,123986,87,0.492,0.829,0.512,0.0,0.12,-5.865,0.187,80.511,4
drivers license,SOUR,Olivia Rodrigo,2021-05-21,242013,90,0.768,0.561,0.431,1.42e-05,0.106,-8.81,0.0578,143.875,4
Get Into It (Yuh),Planet Her,Doja Cat,2021-06-25,138293,87,0.315,0.912,0.655,3.39e-05,0.0894,-6.029,0.162,91.942,4
Don't Be Shy,Don't Be Shy,Tiësto,2021-08-12,140500,88,0.198,0.77,0.787,0.0,0.262,-3.748,0.0583,119.986,4
Cúrame,VICE VERSA,Rauw Alejandro,2021-06-25,164705,89,0.584,0.765,0.625,0.00111,0.112,-3.599,0.0548,102.101,4
Ley Seca,Timelezz,Jhay Cortez,2021-09-03,263253,83,0.101,0.759,0.842,0.0,0.134,-3.758,0.096,105.059,4
deja vu,SOUR,Olivia Rodrigo,2021-05-21,215506,90,0.584,0.442,0.612,5.7e-06,0.37,-7.222,0.112,180.917,4
París,París,Ingratax,2021-07-09,151428,90,0.441,0.57,0.455,0.000746,0.0654,-5.748,0.0996,167.933,4
family ties (with Kendrick Lamar),The Melodic Blue,Baby Keem,2021-09-10,252262,75,0.00588,0.711,0.611,0.0,0.23,-5.453,0.33,134.093,4
AM Remix,AM Remix,Nio Garcia,2021-06-24,261334,90,0.114,0.743,0.655,0.0,0.0764,-5.015,0.159,172.031,4
Volando - Remix,Volando (Remix),Mora,2021-07-08,273474,90,0.207,0.659,0.688,0.0,0.113,-4.649,0.0673,153.979,4
DOLLA SIGN SLIME (feat. Megan Thee Stallion),MONTERO,Lil Nas X,2021-09-17,145074,80,0.0504,0.923,0.533,0.0,0.102,-6.016,0.262,133.991,4
