Name,Album,Artist,Release Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Valence
Easy On Me,Easy On Me,Adele,2021-10-14,224694,100,0.578,0.604,0.366,0.0,0.133,-7.519,0.0282,141.981,4,0.13
Cold Heart - PNAU Remix,The Lockdown Sessions,Elton John,2021-10-22,202735,79,0.0354,0.795,0.8,7.25e-05,0.0915,-6.32,0.0309,116.032,4,0.934
Shivers,Shivers,Ed Sheeran,2021-09-13,207853,96,0.281,0.788,0.859,0.0,0.0424,-2.724,0.0856,141.02,4,0.822
STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23,141805,93,0.0383,0.591,0.764,0.0,0.103,-5.484,0.0483,169.928,4,0.478
Bad Habits,Bad Habits,Ed Sheeran,2021-06-25,231041,97,0.0469,0.808,0.897,3.14e-05,0.364,-3.712,0.0348,126.026,4,0.591
Heat Waves,Dreamland (+ Bonus Levels),Glass Animals,2020-08-06,238805,92,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,4,0.531
INDUSTRY BABY (feat. Jack Harlow),MONTERO,Lil Nas X,2021-09-17,212352,91,0.0221,0.741,0.691,0.0,0.0476,-7.395,0.0672,150.087,4,0.892
Obsessed With You,Obsessed With You,Central Cee,2021-09-10,108650,84,0.377,0.769,0.809,0.0,0.238,-4.529,0.0554,143.074,4,0.886
love nwantiti (ah ah ah),CKay The First,CKay,2019-08-30,145800,95,0.365,0.727,0.739,0.00137,0.161,-3.805,0.0411,93.005,4,0.533
THATS WHAT I WANT,MONTERO,Lil Nas X,2021-09-17,143901,95,0.00614,0.737,0.846,0.0,0.0486,-4.51,0.22,87.981,4,0.546
Woman,Planet Her,Doja Cat,2021-06-25,172626,96,0.0888,0.824,0.764,0.00294,0.117,-4.175,0.0854,107.998,4,0.881
good 4 u,SOUR,Olivia Rodrigo,2021-05-21,178146,96,0.335,0.563,0.664,0.0,0.0849,-5.044,0.154,166.928,4,0.688
Moth To A Flame (with The Weeknd),Moth To A Flame,Swedish House Mafia,2021-10-22,234000,91,0.00279,0.542,0.659,0.0,0.105,-7.289,0.0389,120.122,4,0.109
Meet Me At Our Spot,THE ANXIETY,THE ANXIETY,2020-03-13,162680,92,0.0153,0.773,0.47,0.000193,0.0851,-7.93,0.0299,94.995,4,0.399
OUT OUT (feat. Charli XCX & Saweetie),OUT OUT (feat. Charli XCX & Saweetie),Joel Corry,2021-08-13,162603,90,0.018,0.787,0.833,0.00747,0.0374,-4.403,0.0478,123.97,4,0.796
My Heart Goes (La Di Da) (feat. Topic),Only Honest On The Weekend,Becky Hill,2021-08-27,148960,70,0.0185,0.695,0.781,3.12e-05,0.295,-5.578,0.0452,124.04,4,0.456
My Universe,Music Of The Spheres,Coldplay,2021-10-15,226198,84,0.0114,0.573,0.711,0.0,0.328,-6.268,0.0406,105.006,4,0.47
When We Were Young,25,Adele,2015-11-20,290900,85,0.322,0.372,0.566,0.0,0.0953,-6.779,0.0519,146.399,4,0.28
Girls Want Girls (with Lil Baby),Certified Lover Boy,Drake,2021-09-03,221979,90,0.181,0.767,0.438,0.0,0.142,-8.726,0.29,86.975,4,0.381
Red Light Green Light,Red Light Green Light,Digga D,2021-10-21,172657,70,0.5,0.741,0.627,0.0,0.301,-8.372,0.355,145.169,4,0.762
Happier Than Ever,Happier Than Ever,Billie Eilish,2021-07-30,298899,94,0.767,0.332,0.225,0.00349,0.128,-8.697,0.0348,81.055,3,0.297
Someone Like You,21,Adele,2011-01-19,285240,50,0.893,0.556,0.319,0.0,0.0996,-8.251,0.0281,135.187,4,0.294
Love In The Dark,25,Adele,2015-11-20,285935,83,0.536,0.495,0.323,0.0,0.109,-6.901,0.0275,109.731,4,0.14
Rolling in the Deep,21,Adele,2011-01-19,228093,50,0.138,0.73,0.769,0.0,0.0473,-5.114,0.0298,104.948,4,0.507
2055,Still Sleep?,Sleepy Hallow,2021-06-02,123986,88,0.492,0.829,0.512,0.0,0.12,-5.865,0.187,80.511,4,0.638
Remember (and David Guetta),Only Honest On The Weekend,Becky Hill,2021-08-27,161386,73,0.0682,0.626,0.864,0.0,0.087,-3.12,0.0378,123.833,4,0.555
Clash (feat. Stormzy),We're All Alone In This Together,Dave,2021-07-22,251733,74,0.313,0.871,0.519,8.14e-06,0.0869,-6.549,0.258,140.013,4,0.532
Black Magic,Black Magic,Jonasu,2020-12-18,174193,79,0.0564,0.812,0.634,0.0,0.276,-4.96,0.163,124.074,4,0.463
Wasted,Wasted,Digga D,2021-08-13,174545,76,0.174,0.763,0.666,0.0,0.108,-10.844,0.359,143.0,4,0.69
Need to Know,Planet Her,Doja Cat,2021-06-25,210560,94,0.304,0.664,0.609,0.0,0.0926,-6.509,0.0707,130.041,4,0.194
MONTERO (Call Me By Your Name),MONTERO,Lil Nas X,2021-09-17,137704,91,0.293,0.593,0.503,0.0,0.405,-6.725,0.22,178.781,4,0.71
Fair Trade (with Travis Scott),Certified Lover Boy,Drake,2021-09-03,291175,92,0.0503,0.666,0.465,0.0,0.215,-8.545,0.26,167.937,4,0.292
Kiss Me More (feat. SZA),Planet Her,Doja Cat,2021-06-25,208666,87,0.259,0.764,0.705,8.92e-05,0.12,-3.463,0.0284,110.97,4,0.781
Alone With You,Alone With You,Arz,2021-08-21,195200,78,0.288,0.768,0.374,1.67e-06,0.111,-12.49,0.723,75.503,4,0.398
Mr. Brightside,Hot Fuss,The Killers,2004,222973,83,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,148.033,4,0.236
Life Goes On,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",Oliver Tree,2021-05-28,161803,94,0.186,0.7,0.49,0.0,0.117,-5.187,0.076,79.982,4,0.569
Tell Me Something Good,Tell Me Something Good,Ewan McVicar,2021-06-25,249678,73,0.00826,0.812,0.796,0.921,0.365,-10.548,0.0356,125.976,4,0.961
Love Tonight - David Guetta Remix Edit,Love Tonight (David Guetta Remix),Shouse,2021-06-11,158095,85,0.015,0.621,0.989,0.357,0.184,-4.225,0.0434,126.002,4,0.0348
Take My Breath,Take My Breath,The Weeknd,2021-08-05,220196,83,0.0106,0.747,0.739,2.22e-05,0.101,-6.008,0.0487,120.996,4,0.523
Talk About,Talk About,Rain Radio,2021-05-14,161040,79,0.000222,0.814,0.874,0.522,0.276,-5.316,0.0425,123.992,4,0.434
Kiss My (Uh Oh),Therapy,Anne-Marie,2021-07-23,176800,79,0.0151,0.638,0.878,0.000223,0.308,-3.639,0.0484,103.948,4,0.481
Way 2 Sexy (with Future & Young Thug),Certified Lover Boy,Drake,2021-09-03,257604,93,0.000619,0.803,0.597,4.5e-06,0.323,-6.035,0.141,136.008,4,0.331
24/5,Seven Shades of Heartbreak,Mimi Webb,2021-10-22,158539,58,0.409,0.56,0.763,0.0,0.122,-4.159,0.105,91.058,4,0.346
traitor,SOUR,Olivia Rodrigo,2021-05-21,229226,93,0.691,0.38,0.339,0.0,0.12,-7.885,0.0338,100.607,4,0.0849
Beggin',Chosen,M̴neskin,2017-12-08,211560,96,0.127,0.714,0.8,0.0,0.359,-4.808,0.0504,134.002,4,0.589
Set Fire to the Rain,21,Adele,2011-01-19,242973,43,0.00408,0.603,0.67,1.68e-06,0.112,-3.882,0.0249,107.993,4,0.446
Drive (feat. Wes Nelson),Drive (feat. Wes Nelson),Clean Bandit,2021-07-30,179374,79,0.0624,0.81,0.571,1.63e-06,0.094,-7.189,0.085,125.994,4,0.771
MONEY,LALISA,LISA,2021-09-10,168227,93,0.161,0.831,0.554,6.12e-05,0.152,-9.998,0.218,140.026,4,0.396
Chasing Pavements,19,Adele,2008-01-27,210506,76,0.291,0.616,0.47,0.0,0.111,-6.092,0.0253,80.03,4,0.325
Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,92,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4,0.334
